Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,1.24,-0.12,0.82,0.5,0.61,1.21,0.25,1.35,0.55,0.81,0.96,0.1,1.92,1.06,0.13,0.62,0.89,1.37,2.85,1.4,0.24,1.1,0,1.54
Feb,0.24,-0.88,0.86,0.7,0.66,0.49,1.8,-0.6,0.5,0.82,-0.19,-0.3,0.74,0.06,1.87,1.14,0.54,0.84,1.35,0.9,-0.25,0.05,0.43,1.72
Mar,-0.73,0.31,-0.39,0.36,1.17,0.68,0.65,0.57,0.62,0.33,-0.81,-0.93,0.9,0.9,0.99,1.86,1.78,1.09,2.04,0.63,0.17,1.67,1.1,1.1
Apr,0.11,1.83,0.91,0.98,2.78,-0.6,0.99,-0.39,0.69,1.53,-0.56,0.15,1.27,1.2,-0.57,2.07,0.16,2.44,1.34,1.65,0.2,1.62,0.02,-0.51
May,-0.43,1.43,1.05,0.04,1.34,-1.04,1.86,0.34,-0.02,0.48,-1.4,-0.54,1.17,1.73,-0.15,1.98,0.76,0.24,0.61,-0.61,0.49,1,-1.1,
Jun,0.78,0.33,0.81,0.71,1.11,-0.98,-1.47,1.04,0.75,0.33,-0.62,-0.53,0.83,0.46,1.35,1.34,0.46,0.32,0.3,1.08,0.34,0.5,1.12,
Jul,0.52,0.56,1,0.47,1.27,0.11,0.47,0.46,0.93,1.08,0.71,-0.3,1.59,0.41,0.52,1.11,1.89,1.33,1.6,0.97,1.78,-0.17,1.19,
Aug,0.05,0.27,0.61,0,0.43,1.12,0.98,-0.86,2.56,-0.01,1.05,0.38,1.72,0.18,0.69,0.51,1.09,0,0.23,1.33,1.35,0.73,2.29,
Sep,0.97,1.14,1.29,-0.21,1.27,1.31,1.27,1.48,1.22,0.1,0.2,1.17,2.86,1.34,0.27,0.04,1.33,0.71,1.17,2.55,1,0.69,2.43,
Oct,-1.03,1.01,-0.47,1.81,1.29,1.59,1.36,1.65,0.43,-0.42,0.56,0.89,1.57,2.05,3.03,-0.41,1.56,1.93,2.18,1.04,0.92,0.17,1.06,
Nov,-0.48,1.69,0.82,0.46,1,1.75,0.82,0.08,2.04,-0.51,0.43,1.6,0.74,2.08,2.05,0.72,0.86,0.9,1.19,2.49,-0.64,-1.16,1.58,
Dec,-0.7,0.93,1,0.58,0.96,0.33,0.1,0.21,0.88,-0.53,-0.36,1.18,0.72,1.04,1.1,0.79,1.21,2.11,3.2,0.12,1.09,-0.18,1.6,
